Running Model: FullBCModel(
  (glycinergic_amacrine_cells): AmacrineCellFeedback()
  (gabaergic_amacrine_cells): AmacrineCellFeedback()
)
lr=0.05152182329598098, max_steps=1000, time_reg_weight=0.02049110734470197, sparsity_reg_weight=3.8927961677499236e-07, scale_mean_weight=2.5717471827325356, scale_std_weight=0.6809779474260329
Init Params:

Step 5 (86.97s), Loss: Local=0.2580341577529907, Global=0.24764224290847778, Speed_reg=9.59e-04, Sparsity_reg=1.18e-04, Scaling_mean_reg=1.18e-04, Scaling_std_reg=1.18e-04, Total=8.68e-01
Step 175 (82.99s), Loss: Local=0.057182931900024415, Global=0.054303872585296634, Speed_reg=8.32e-04, Sparsity_reg=1.18e-04, Scaling_mean_reg=1.18e-04, Scaling_std_reg=1.18e-04, Total=1.31e-01
Step 180 (82.87s), Loss: Local=0.0568747878074646, Global=0.054025137424468996, Speed_reg=8.24e-04, Sparsity_reg=1.18e-04, Scaling_mean_reg=1.18e-04, Scaling_std_reg=1.18e-04, Total=1.29e-01
Step 185 (82.96s), Loss: Local=0.056697165966033934, Global=0.05328649282455444, Speed_reg=8.20e-04, Sparsity_reg=1.18e-04, Scaling_mean_reg=1.18e-04, Scaling_std_reg=1.18e-04, Total=1.28e-01
Step 190 (82.99s), Loss: Local=0.056381058692932126, Global=0.05326862335205078, Speed_reg=8.17e-04, Sparsity_reg=1.18e-04, Scaling_mean_reg=1.18e-04, Scaling_std_reg=1.18e-04, Total=1.28e-01
Step 195 (83.03s), Loss: Local=0.056212103366851805, Global=0.05508493185043335, Speed_reg=8.12e-04, Sparsity_reg=1.18e-04, Scaling_mean_reg=1.18e-04, Scaling_std_reg=1.18e-04, Total=1.32e-01
Step 200 (83.06s), Loss: Local=0.05702188014984131, Global=0.058272910118103025, Speed_reg=8.18e-04, Sparsity_reg=1.18e-04, Scaling_mean_reg=1.18e-04, Scaling_std_reg=1.18e-04, Total=1.38e-01
Step 205 (83.03s), Loss: Local=0.05625847578048706, Global=0.05627793073654175, Speed_reg=8.31e-04, Sparsity_reg=1.19e-04, Scaling_mean_reg=1.19e-04, Scaling_std_reg=1.19e-04, Total=1.34e-01
Step 210 (83.11s), Loss: Local=0.056229686737060545, Global=0.05412681102752685, Speed_reg=8.41e-04, Sparsity_reg=1.19e-04, Scaling_mean_reg=1.19e-04, Scaling_std_reg=1.19e-04, Total=1.30e-01
Step 215 (83.27s), Loss: Local=0.055932474136352536, Global=0.05223599672317505, Speed_reg=8.45e-04, Sparsity_reg=1.19e-04, Scaling_mean_reg=1.19e-04, Scaling_std_reg=1.19e-04, Total=1.26e-01
Step 220 (83.13s), Loss: Local=0.055149269104003903, Global=0.05245516300201416, Speed_reg=8.40e-04, Sparsity_reg=1.19e-04, Scaling_mean_reg=1.19e-04, Scaling_std_reg=1.19e-04, Total=1.25e-01
Step 225 (82.96s), Loss: Local=0.05499635934829712, Global=0.05188772678375244, Speed_reg=8.21e-04, Sparsity_reg=1.18e-04, Scaling_mean_reg=1.18e-04, Scaling_std_reg=1.18e-04, Total=1.25e-01
Step 230 (83.03s), Loss: Local=0.05508592128753662, Global=0.05136786699295044, Speed_reg=8.02e-04, Sparsity_reg=1.18e-04, Scaling_mean_reg=1.18e-04, Scaling_std_reg=1.18e-04, Total=1.24e-01
Step 235 (83.18s), Loss: Local=0.05466104745864868, Global=0.051520812511444095, Speed_reg=7.89e-04, Sparsity_reg=1.18e-04, Scaling_mean_reg=1.18e-04, Scaling_std_reg=1.18e-04, Total=1.23e-01
Step 240 (83.05s), Loss: Local=0.05464223623275757, Global=0.050688111782073976, Speed_reg=7.71e-04, Sparsity_reg=1.19e-04, Scaling_mean_reg=1.19e-04, Scaling_std_reg=1.19e-04, Total=1.22e-01
Step 245 (83.02s), Loss: Local=0.05423747301101685, Global=0.05052119493484497, Speed_reg=7.63e-04, Sparsity_reg=1.19e-04, Scaling_mean_reg=1.19e-04, Scaling_std_reg=1.19e-04, Total=1.21e-01
Step 250 (83.20s), Loss: Local=0.05413720607757568, Global=0.05105185508728027, Speed_reg=7.54e-04, Sparsity_reg=1.19e-04, Scaling_mean_reg=1.19e-04, Scaling_std_reg=1.19e-04, Total=1.23e-01
Step 255 (83.02s), Loss: Local=0.05400769710540772, Global=0.05086151361465454, Speed_reg=7.53e-04, Sparsity_reg=1.19e-04, Scaling_mean_reg=1.19e-04, Scaling_std_reg=1.19e-04, Total=1.22e-01
Step 260 (83.07s), Loss: Local=0.05391511917114258, Global=0.05104215145111084, Speed_reg=7.43e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.22e-01
lowering learning rate to  0.012880455823995244
Step 265 (71.32s), Loss: Local=0.054117214679718015, Global=0.050269055366516116, Speed_reg=7.58e-04, Sparsity_reg=1.19e-04, Scaling_mean_reg=1.19e-04, Scaling_std_reg=1.19e-04, Total=1.21e-01
Step 270 (83.12s), Loss: Local=0.05410333871841431, Global=0.0502930998802185, Speed_reg=7.54e-04, Sparsity_reg=1.19e-04, Scaling_mean_reg=1.19e-04, Scaling_std_reg=1.19e-04, Total=1.20e-01
Step 275 (83.22s), Loss: Local=0.05386648178100586, Global=0.04997985363006592, Speed_reg=7.53e-04, Sparsity_reg=1.19e-04, Scaling_mean_reg=1.19e-04, Scaling_std_reg=1.19e-04, Total=1.19e-01
Step 280 (83.04s), Loss: Local=0.05387554168701172, Global=0.04957072734832764, Speed_reg=7.52e-04, Sparsity_reg=1.19e-04, Scaling_mean_reg=1.19e-04, Scaling_std_reg=1.19e-04, Total=1.18e-01
Step 285 (83.08s), Loss: Local=0.05378502607345581, Global=0.04950920343399048, Speed_reg=7.51e-04, Sparsity_reg=1.19e-04, Scaling_mean_reg=1.19e-04, Scaling_std_reg=1.19e-04, Total=1.18e-01
Step 290 (83.52s), Loss: Local=0.05366445779800415, Global=0.04957470893859863, Speed_reg=7.49e-04, Sparsity_reg=1.19e-04, Scaling_mean_reg=1.19e-04, Scaling_std_reg=1.19e-04, Total=1.19e-01
Step 295 (83.46s), Loss: Local=0.053671610355377194, Global=0.04959702491760254, Speed_reg=7.48e-04, Sparsity_reg=1.19e-04, Scaling_mean_reg=1.19e-04, Scaling_std_reg=1.19e-04, Total=1.19e-01
Step 300 (83.24s), Loss: Local=0.053507423400878905, Global=0.0493409276008606, Speed_reg=7.45e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.19e-01
Step 305 (83.04s), Loss: Local=0.05333690643310547, Global=0.04884260892868042, Speed_reg=7.40e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.18e-01
Step 310 (83.17s), Loss: Local=0.05319991111755371, Global=0.04887964725494385, Speed_reg=7.38e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.18e-01
Step 315 (83.17s), Loss: Local=0.05310956239700317, Global=0.048830604553222655, Speed_reg=7.39e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.18e-01
Step 320 (83.21s), Loss: Local=0.05308481454849243, Global=0.048717689514160153, Speed_reg=7.39e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.18e-01
Step 325 (83.17s), Loss: Local=0.05300260782241821, Global=0.049019694328308105, Speed_reg=7.41e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.18e-01
Step 330 (83.25s), Loss: Local=0.05276600122451782, Global=0.04890263080596924, Speed_reg=7.38e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.17e-01
Step 335 (82.90s), Loss: Local=0.05266118049621582, Global=0.04789543151855469, Speed_reg=7.39e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.16e-01
Step 340 (83.10s), Loss: Local=0.052783870697021486, Global=0.047619640827178955, Speed_reg=7.38e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.15e-01
Step 345 (83.01s), Loss: Local=0.05259957313537598, Global=0.04724029302597046, Speed_reg=7.39e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.14e-01
Step 350 (83.08s), Loss: Local=0.05244497060775757, Global=0.047304046154022214, Speed_reg=7.43e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.15e-01
Step 355 (83.03s), Loss: Local=0.05245454311370849, Global=0.04761558771133423, Speed_reg=7.40e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.15e-01
Step 360 (82.80s), Loss: Local=0.052264511585235596, Global=0.04736759662628174, Speed_reg=7.39e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.15e-01
Step 365 (82.65s), Loss: Local=0.052200472354888915, Global=0.04736689329147339, Speed_reg=7.40e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.15e-01
lowering learning rate to  0.006440227911997622
Step 370 (70.98s), Loss: Local=0.05233422517776489, Global=0.04729902744293213, Speed_reg=7.36e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.14e-01
Step 375 (83.02s), Loss: Local=0.052383553981781, Global=0.04742552042007446, Speed_reg=7.40e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.15e-01
Step 380 (82.95s), Loss: Local=0.05241737365722656, Global=0.04710607528686524, Speed_reg=7.40e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.15e-01
Step 385 (82.93s), Loss: Local=0.052519369125366214, Global=0.04714972972869873, Speed_reg=7.38e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.15e-01
Step 390 (82.75s), Loss: Local=0.05232369899749756, Global=0.04717819690704346, Speed_reg=7.38e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.14e-01
Step 395 (82.79s), Loss: Local=0.052166664600372316, Global=0.047116637229919434, Speed_reg=7.39e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.15e-01
Step 400 (82.72s), Loss: Local=0.052371656894683837, Global=0.04719023704528809, Speed_reg=7.35e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.15e-01
Step 405 (82.76s), Loss: Local=0.052245926856994626, Global=0.047081518173217776, Speed_reg=7.35e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.14e-01
Step 410 (82.58s), Loss: Local=0.052093684673309326, Global=0.04692314863204956, Speed_reg=7.34e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.13e-01
Step 415 (83.19s), Loss: Local=0.052060484886169434, Global=0.04690866470336914, Speed_reg=7.33e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.13e-01
Step 420 (82.89s), Loss: Local=0.052042257785797116, Global=0.046605896949768064, Speed_reg=7.33e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.13e-01
Step 425 (82.89s), Loss: Local=0.052011740207672116, Global=0.046719467639923094, Speed_reg=7.33e-04, Sparsity_reg=1.20e-04, Scaling_mean_reg=1.20e-04, Scaling_std_reg=1.20e-04, Total=1.13e-01
Step 430 (82.91s), Loss: Local=0.05197408199310303, Global=0.04662677049636841, Speed_reg=7.32e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.13e-01
Step 435 (82.85s), Loss: Local=0.05191893577575683, Global=0.046553826332092284, Speed_reg=7.33e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.12e-01
Step 440 (82.72s), Loss: Local=0.051760423183441165, Global=0.046442818641662595, Speed_reg=7.32e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.12e-01
Step 445 (82.66s), Loss: Local=0.05174633264541626, Global=0.04656146764755249, Speed_reg=7.31e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.12e-01
Step 450 (82.81s), Loss: Local=0.05168538093566895, Global=0.04644333124160767, Speed_reg=7.29e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.12e-01
Step 455 (82.89s), Loss: Local=0.05155184268951416, Global=0.04647970199584961, Speed_reg=7.26e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.12e-01
Step 460 (82.68s), Loss: Local=0.05167523622512817, Global=0.0461943507194519, Speed_reg=7.23e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.12e-01
Step 465 (83.09s), Loss: Local=0.05152655839920044, Global=0.046195948123931886, Speed_reg=7.23e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.11e-01
lowering learning rate to  0.003220113955998811
Step 470 (71.04s), Loss: Local=0.051507627964019774, Global=0.045983517169952394, Speed_reg=7.22e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.11e-01
Step 475 (83.14s), Loss: Local=0.051468515396118165, Global=0.04621678590774536, Speed_reg=7.23e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.11e-01
Step 480 (82.98s), Loss: Local=0.05151335000991821, Global=0.045973467826843264, Speed_reg=7.22e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.11e-01
Step 485 (82.98s), Loss: Local=0.05154561996459961, Global=0.04578651189804077, Speed_reg=7.22e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
Step 490 (82.98s), Loss: Local=0.05145982503890991, Global=0.045867669582366946, Speed_reg=7.23e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
Step 495 (82.93s), Loss: Local=0.05151520967483521, Global=0.04574607610702515, Speed_reg=7.23e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
Step 500 (83.00s), Loss: Local=0.05134735107421875, Global=0.045784389972686766, Speed_reg=7.23e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
Step 505 (82.89s), Loss: Local=0.051514482498168944, Global=0.04569908380508423, Speed_reg=7.21e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
Step 510 (82.75s), Loss: Local=0.05139974355697632, Global=0.04568240642547607, Speed_reg=7.22e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
Step 515 (82.92s), Loss: Local=0.05134681463241577, Global=0.04564222097396851, Speed_reg=7.20e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
Step 520 (82.84s), Loss: Local=0.05138411521911621, Global=0.045633900165557864, Speed_reg=7.21e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
Step 525 (83.24s), Loss: Local=0.05133281946182251, Global=0.04562804698944092, Speed_reg=7.20e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
Step 530 (83.24s), Loss: Local=0.0513916015625, Global=0.045661640167236325, Speed_reg=7.18e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
Step 535 (83.00s), Loss: Local=0.0512384295463562, Global=0.04580259323120117, Speed_reg=7.17e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
Step 540 (83.05s), Loss: Local=0.05138903856277466, Global=0.04552079439163208, Speed_reg=7.15e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
Step 545 (83.05s), Loss: Local=0.05119982957839966, Global=0.045578742027282716, Speed_reg=7.15e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
Step 550 (83.07s), Loss: Local=0.05130934715270996, Global=0.04555795192718506, Speed_reg=7.14e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
Step 555 (82.92s), Loss: Local=0.05118616819381714, Global=0.04549816846847534, Speed_reg=7.12e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
Step 560 (82.86s), Loss: Local=0.05135945081710815, Global=0.045633673667907715, Speed_reg=7.11e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
Step 565 (83.05s), Loss: Local=0.05102019309997559, Global=0.045814788341522215, Speed_reg=7.10e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
lowering learning rate to  0.0016100569779994055
Step 570 (71.17s), Loss: Local=0.0513763427734375, Global=0.04560273885726929, Speed_reg=7.13e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
Step 575 (82.86s), Loss: Local=0.051074326038360596, Global=0.04556626081466675, Speed_reg=7.12e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
Step 580 (83.00s), Loss: Local=0.051327061653137204, Global=0.04553842544555664, Speed_reg=7.12e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
Step 585 (82.82s), Loss: Local=0.051216936111450194, Global=0.045432865619659424, Speed_reg=7.12e-04, Sparsity_reg=1.21e-04, Scaling_mean_reg=1.21e-04, Scaling_std_reg=1.21e-04, Total=1.10e-01
